Building_type,Property_type,Climate_type,Soil_type,Budget,Category,Location,Recommended_material
residential,penthouse,humid,rocky,medium,structural,rural residential,"Reinforced Cement Concrete (RCC),TMT Steel Bars,Fly Ash Bricks,Cement (OPC 43 Grade)"
residential,penthouse,cold,rocky,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Insulated Concrete Blocks, Waterproof Cement, Mild Steel Rods"
residential,penthouse,cold,sandy,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Mild Steel Rods, Sand Stabilizer Additives"
residential,penthouse,cold,humid,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Damp-Proof Course (DPC) Materials, Waterproof Cement, Anti-Corrosive Steel Coating"
residential,penthouse,cold,clayey,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Compressed Stabilized Earth Blocks (CSEB), Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,loamy,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Mild Steel Rods, Anti-Fungal Wall Coating"
residential,penthouse,cold,clay,medium,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Stabilized Mud Blocks, Waterproof Cement, Mild Steel Rods, Anti-Fungal Wall Coating"
residential,bungalow,hot,clayey,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Solid Concrete Blocks, Waterproof Cement, Mild Steel Rods, Anti-Fungal Paint"
residential,studio apartment,humid,sandy,low,structural,suburban residential,"Cool Paint, OPC 53 Cement, Heat-Resistant Concrete, Reflective Roof Tiles, Premium AAC Blocks"
residential,duplex,cold,humid,medium,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, Basic Cement, Ordinary Bricks, Anti-Fungal Paint"
residential,penthouse,hot,rocky,high,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,duplex,cold,rocky,medium,structural,suburban residential,"Cool Paint, OPC 53 Cement, Heat-Resistant Concrete, Reflective Roof Tiles, Premium AAC Blocks"
residential,townhouse,hot,humid,medium,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,duplex,humid,loamy,high,structural,urban residential,"Cool Paint, OPC 43 Cement, Fly Ash Bricks, Heat-Resistant Concrete, Reflective Roof Tiles"
residential,bungalow,cold,rocky,medium,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, OPC 53 Cement, Premium AAC Blocks, Anti-Fungal Paint"
residential,villa,hot,loamy,low,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,villa,hot,loamy,medium,structural,suburban residential,"Cool Paint, Heat-Resistant Concrete, Basic Cement, Reflective Roof Tiles, Ordinary Bricks"
residential,penthouse,humid,sandy,high,structural,rural residential,"Cool Paint, OPC 43 Cement, Fly Ash Bricks, Heat-Resistant Concrete, Reflective Roof Tiles"
residential,penthouse,humid,loamy,medium,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, OPC 53 Cement, Premium AAC Blocks, Anti-Fungal Paint"
residential,studio apartment,temperate,loamy,medium,structural,urban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,villa,humid,humid,medium,structural,rural residential,"TMT Steel Bars, Fly Ash Bricks, OPC 43 Cement, Standard RCC"
residential,bungalow,humid,loamy,low,structural,urban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,townhouse,cold,humid,medium,structural,urban residential,"Moisture-Resistant Bricks, Waterproof Concrete, Basic Cement, Ordinary Bricks, Anti-Fungal Paint"
residential,apartment,humid,sandy,medium,structural,urban residential,"Thermal Insulation Boards, Double-Glazed Windows, Fly Ash Bricks, OPC 43 Cement, Heavy Concrete Walls"
residential,penthouse,humid,loamy,medium,structural,rural residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,duplex,temperate,humid,high,structural,suburban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential,apartment,temperate,loamy,medium,structural,suburban residential,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
residential,row house,temperate,loamy,medium,structural,urban residential,"TMT Steel Bars, Fly Ash Bricks, OPC 43 Cement, Standard RCC"
residential,farmhouse,humid,loamy,low,structural,urban residential,"TMT Steel Bars, Fly Ash Bricks, OPC 43 Cement, Standard RCC"
residential,villa,temperate,loamy,low,structural,rural residential,"Moisture-Resistant Bricks, Waterproof Concrete, Basic Cement, Ordinary Bricks, Anti-Fungal Paint"
residential,townhouse,cold,humid,low,structural,suburban residential,"TMT Steel Bars, Fly Ash Bricks, Basic Cement, Standard RCC, Ordinary Bricks"
residential,studio apartment,temperate,humid,low,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Heavy Concrete Walls, Basic Cement, Ordinary Bricks"
residential,house,hot,humid,high,structural,suburban residential,"TMT Steel Bars, Fly Ash Bricks, Basic Cement, Standard RCC, Ordinary Bricks"
residential,villa,cold,rocky,high,structural,rural residential,"Cool Paint, OPC 53 Cement, Heat-Resistant Concrete, Reflective Roof Tiles, Premium AAC Blocks"
residential,duplex,temperate,loamy,high,structural,rural residential,"Thermal Insulation Boards, Double-Glazed Windows, Heavy Concrete Walls, OPC 53 Cement, Premium AAC Blocks"
residential,townhouse,humid,sandy,medium,structural,urban residential,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
residential,bungalow,humid,loamy,medium,structural,suburban residential,"Moisture-Resistant Bricks, Fly Ash Bricks, Waterproof Concrete, OPC 43 Cement, Anti-Fungal Paint"
residential ,School Building,temperate,sandy,medium,structural,urban school area,"Moisture-Resistant Bricks, Waterproof Concrete, OPC 43 Cement, Fly Ash Bricks, Anti-Fungal Paint"
commercial,restaurant,humid,loamy,high,structural,suburban commercial,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Anti-Corrosive Steel Coating, Damp-Proof Course (DPC) Materials"
commercial,office building,humid,loamy,medium,interior,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Waterproof Concrete, Anti-Fungal Paint"
commercial,cinema,hot,alluvial,medium,structural,urban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Waterproof Concrete, Anti-Fungal Paint"
commercial,restaurant,temperate,clay,very high,specialized,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Waterproof Concrete, Anti-Fungal Paint"
commercial,cinema,temperate,alluvial,medium,interior,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Waterproof Concrete, Anti-Fungal Paint"
commercial,cinema,humid,loamy,very high,structural & interior,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Waterproof Concrete, Anti-Fungal Paint, Thermal Insulation Boards"
commercial,shopping mall,humid,sandy,high,structural,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Waterproof Concrete, Anti-Fungal Paint"
commercial,hotel,temperate,alluvial,very high,structural & interior,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Premium AAC Blocks, Standard RCC, Thermal Insulation Boards, Double-Glazed Windows, Anti-Fungal Paint, Waterproof Concrete"
commercial,restaurant,humid,loamy,high,interior,coastal commercial,"Moisture-Resistant Plywood, Anti-Fungal Paint, Waterproof Concrete, Ceramic Tiles, Wall Cladding Panels"
commercial,restaurant,temperate,sandy,very high,structural & interior,coastal commercial,"TMT Steel Bars, Premium AAC Blocks, Waterproof Concrete, OPC 53 Cement, Moisture-Resistant Plywood, Anti-Fungal Paint, Ceramic Tiles"
commercial,hospital,temperate,clay,medium,structural & interior,coastal commercial,"TMT Steel Bars, Premium AAC Blocks, Waterproof Concrete, OPC 53 Cement, Anti-Fungal Paint, Moisture-Resistant Plywood, Vitrified Tiles"
commercial,office building,temperate,loamy,high,structural & interior,coastal commercial,"TMT Steel Bars, Fly Ash Bricks, Standard RCC, OPC 53 Cement, Moisture-Resistant Plywood, Anti-Fungal Paint, Glass Partitions"
commercial,hotel,humid,loamy,medium,specialized,suburban commercial,"TMT Steel Bars, Premium AAC Blocks, Waterproof Concrete, OPC 53 Cement, Moisture-Resistant Plywood, Decorative Tiles, Anti-Fungal Paint"
commercial,hotel,hot,sandy,very high,structural,suburban commercial,"TMT Steel Bars, Fly Ash Bricks, Standard RCC, OPC 53 Cement, Waterproof Concrete"
commercial,warehouse,cold,loamy,very high,interior,suburban commercial,"Moisture-Resistant Plywood, Anti-Fungal Paint, Vitrified Tiles, Glass Partitions, Basic Cement"
commercial,office building,cold,sandy,high,interior,coastal commercial,"Moisture-Resistant Plywood, Anti-Fungal Paint, Glass Partitions, Vitrified Tiles, Basic Cement"
commercial,hospital,cold,loamy,very high,interior,urban commercial,"Moisture-Resistant Plywood, Anti-Fungal Paint, Decorative Tiles, Vitrified Tiles, Basic Cement"
commercial,shopping mall,cold,clay,medium,interior,suburban commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,hotel,hot,sandy,high,interior,suburban commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,warehouse,temperate,sandy,high,interior,suburban commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,cinema,temperate,loamy,high,structural,coastal commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,hospital,cold,sandy,very high,specialized,suburban commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,hotel,hot,clay,very high,interior,coastal commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,cinema,temperate,clay,high,specialized,coastal commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,warehouse,humid,alluvial,high,structural & interior,urban commercial,"RCC with M30 Grade Concrete, TMT Steel Bars (Fe550D), Solid Concrete Blocks, Waterproof Cement, Epoxy Flooring, industrial False Ceiling, Anti-Fungal Wall Coatings, Fire-Retardant Panels"
commercial,office building,hot,clay,medium,specialized,coastal commercial,"TMT Steel Bars, OPC 53 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,office building,cold,loamy,medium,structural & interior,urban commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,cinema,cold,sandy,medium,interior,urban commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,restaurant,cold,loamy,medium,specialized,coastal commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
commercial,warehouse,temperate,clay,medium,structural,urban commercial,"TMT Steel Bars, OPC 43 Cement, Fly Ash Bricks, Standard RCC, Premium AAC Blocks"
industrial,refinery,humid,clayey,medium,finishing,urban industrial,"Epoxy Coating, HPL Panels, Vinyl Flooring, ISI Certified, PU Paint"
industrial,manufacturing unit,humid,sandy,low,electrical,urban industrial,"MCBs, industrial Switchgear, Local Brands, Fire-resistant Wiring, Basic Quality"
industrial,logistics hub,humid,sandy,medium,structural,rural industrial,"ISI Certified, RCC, Concrete Blocks, TMT Steel, M25/M30 Concrete"
industrial,logistics hub,humid,clayey,high,finishing,rural industrial,"PU Paint, Epoxy Coating, Smart System Compatible, Vinyl Flooring, HPL Panels"
industrial,processing center,humid,sandy,low,finishing,semi-urban,"Epoxy Coating, Basic Quality, Local Brands, Vinyl Flooring, PU Paint"
industrial,warehouse,humid,rocky,high,plumbing,rural industrial,"Water Tanks, Drainage Systems, Smart System Compatible, GI Pipes, uPVC Pipes"
industrial,industrial park,temperate,loamy,low,structural,rural industrial,"Local Brands, Concrete Blocks, RCC, Basic Quality, TMT Steel"
industrial,industrial park,hot,sandy,high,electrical,urban industrial,"industrial Switchgear, MCBs, Fire-resistant Wiring, Smart System Compatible, LED Fixtures"
industrial,distribution center,humid,rocky,high,plumbing,semi-urban,"uPVC Pipes, Smart System Compatible, Premium Grade, GI Pipes, Water Tanks"
industrial,industrial park,temperate,rocky,medium,plumbing,semi-urban,"Water Tanks, Drainage Systems, uPVC Pipes, GI Pipes, ISI Certified"
industrial,manufacturing unit,cold,rocky,low,electrical,semi-urban,"Basic MCBs, Copper Wiring, LED Tube Lights, Electrical Panels (basic grade), Local Switchgear"
industrial,assembly plant,temperate,sandy,high,electrical,semi-urban,"MCBs, Fire-resistant Wiring, LED Fixtures, Premium Grade, Smart System Compatible"
industrial,power plant,temperate,rocky,medium,structural,urban industrial,"TMT Steel Bars (Fe-500D), M25 Grade Concrete, Precast Slabs, Concrete Blocks, Foundation Grout"
industrial,factory,cold,sandy,medium,plumbing,urban industrial,"uPVC Pipes, Cast Iron Drain Pipes, Water Tanks, Valves, Sanitary Fixtures (ISI Certified)"
industrial,processing center,humid,loamy,medium,finishing,urban industrial,"Anti-Fungal Paint, Epoxy Floor Coating, Laminate Panels, Acoustic Boards"
industrial,distribution center,hot,sandy,high,structural,rural industrial,"TMT Steel (Fe-550), Fly Ash Bricks, Ready-Mix Concrete (M30), Steel Beams, Fiber Reinforced Panels"
industrial,power plant,temperate,clayey,high,structural,semi-urban,"High-strength Concrete, TMT Bars, RCC Columns, Waterproofing Materials, Grade A Blocks"
industrial,distribution center,cold,rocky,low,structural,rural industrial,"Basic Grade Concrete, Steel Rods, Hollow Blocks, Cement Plaster"
industrial,warehouse,humid,clayey,high,electrical,semi-urban,"Smart Switches, Fire-resistant Cables, Backup Power Systems, Motion Sensors, Premium Fixtures"
industrial,refinery,hot,sandy,high,structural,urban industrial,"Thermal Resistant RCC, TMT Bars (Fe-550D), Oil-Resistant Flooring, Anti-Corrosive Steel Frames"
industrial,manufacturing unit,humid,sandy,high,finishing,rural industrial,"PU Paint, Modular False Ceiling, High-end Vinyl Flooring, Insulation Panels"
industrial,warehouse,temperate,rocky,high,electrical,urban industrial,"industrial Grade Switches, Copper Wiring, Advanced Panel Boards, Sensor Lights"
industrial,factory,humid,loamy,medium,finishing,rural industrial,"Standard Emulsion Paints, industrial Tiles, PVC Ceilings, Moderate Cost Laminates"
industrial,manufacturing unit,humid,sandy,low,plumbing,semi-urban,"HDPE Pipes, Budget Water Tanks, Chrome-plated Fittings (Basic), Local Drainage Solutions"
industrial,logistics hub,cold,loamy,low,plumbing,urban industrial,"uPVC Pipes, Economical Wash Stations, Basic Grade Taps, GI Pipes"
industrial,warehouse,hot,rocky,high,structural,semi-urban,"RCC Frames, Fireproof Panels, TMT Steel, Reinforced Precast Slabs, Anti-Heat Roofing"
industrial,refinery,cold,loamy,medium,structural,rural industrial,"Concrete Blocks, TMT Steel (Fe-500), Moisture-proof Cement, Basic Roof Sheets"
industrial,factory,hot,clayey,low,structural,semi-urban,"Fly Ash Bricks, PCC Flooring, TMT Bars (Fe-415), Basic Roofing Sheets"
industrial,power plant,humid,sandy,medium,electrical,urban industrial,"ISI Certified Switchgear, Weatherproof Lighting, Cable Trays, MCCBs"
industrial,refinery,humid,clayey,high,electrical,rural industrial,"High-Capacity Switchboards, Flame-proof Wiring, industrial Sensors, IoT-ready Panels, Surge Protection Units"
residential,penthouse,cold,rocky,high,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Solid Concrete Blocks, Waterproof Cement, Anti-Corrosive Steel Coating, Mild Steel Rods"
residential,penthouse,cold,sandy,high,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Anti-Corrosive Steel Coating, Mild Steel Rods"
residential,penthouse,cold,humid,high,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Solid Concrete Blocks, Waterproof Cement, Anti-Corrosive Steel Coating, Mild Steel Rods"
residential,penthouse,cold,clayey,high,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Compressed Stabilized Earth Blocks (CSEB), Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,loamy,high,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,clay,high,structural,rural residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Stabilized Mud Blocks, Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,rocky,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Solid Concrete Blocks, Waterproof Cement, Anti-Corrosive Steel Coating, Mild Steel Rods"
residential,penthouse,cold,sandy,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Anti-Corrosive Steel Coating, Mild Steel Rods"
residential,penthouse,cold,humid,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Solid Concrete Blocks, Waterproof Cement, Anti-Corrosive Steel Coating, Mild Steel Rods"
residential,penthouse,cold,clayey,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Compressed Stabilized Earth Blocks (CSEB), Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,loamy,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,clay,high,structural,urban residential,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Stabilized Mud Blocks, Waterproof Cement, Anti-Fungal Coatings, Mild Steel Rods"
residential,penthouse,cold,clay,low,structural,urban residential,"Reinforced Brick Concrete (RBC), Mild Steel Bars, M20 Grade Concrete, Stabilized Mud Blocks, Waterproof Cement, Basic Damp-Proof Coating"
commercial,restaurant,hot,sandy,low,structural,suburban commercial,"Reinforced Brick Concrete (RBC), Mild Steel Bars, M20 Grade Concrete, Stabilized Earth Blocks, Heat-Reflective Coating, Lime Plaster"
commercial,restaurant,humid,clayey,medium,structural,suburban commercial,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Fly Ash Bricks, Waterproof Cement, Anti-Fungal Coating"
commercial,restaurant,temperate,loamy,high,structural,suburban commercial,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Solid Concrete Blocks, Moisture-Resistant Cement, Weather-Proof Coating"
commercial,restaurant,cold,rocky,medium,structural,suburban commercial,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M25 Grade Concrete, Solid Concrete Blocks, Thermal Insulation Panels, Waterproof Cement"
commercial,restaurant,hot,clay,high,structural,suburban commercial,"Reinforced Cement Concrete (RCC), TMT Steel Bars, M30 Grade Concrete, Stabilized Mud Blocks, Heat-Reflective Paint, Waterproof Cement"
commercial,office building,hot,sandy,low,interior,suburban commercial,"Medium-Density Fiberboard (MDF), Ceramic Floor Tiles, White Cement Wall Finish, Lime Paint, PVC Doors, Basic POP Ceiling"
commercial,office building,temperate,clayey,high,interior,suburban commercial,"Fire-Retardant Gypsum Boards, Acoustic Ceiling Tiles, Laminated Wooden Flooring, Premium Wall Panels, Weather-Proof Paint, Aluminium Composite Panels (ACP)"
commercial,office building,cold,rocky,medium,interior,suburban commercial,"Insulated Wall Panels, False Ceiling with Mineral Fiber Tiles, Vitrified Floor Tiles, Thermal Insulation Boards, PU Wall Paint, Toughened Glass Partitions"
commercial,office building,humid,clay,high,interior,suburban commercial,"Marine Plywood, High-Pressure Laminate (HPL) Panels, Anti-Fungal Paint, Water-Resistant Vinyl Flooring, Moisture-Proof Gypsum Boards, Decorative ACP Sheets"
commercial,cinema,humid,clayey,high,structural,urban commercial,"RCC with M30 Grade Concrete, TMT Steel (Fe500D), Solid Concrete Blocks, Waterproof Cement, Soundproof Wall Panels, Anti-Fungal Coatings, Fire-Resistant Cladding"
commercial,cinema,cold,loamy,low,structural,urban commercial,"RBC (Reinforced Brick Concrete), Mild Steel Bars, M20 Grade Concrete, Stabilized Mud Bricks, Basic Acoustic Insulation, Damp-Proof Coating"
commercial,cinema,temperate,rocky,medium,structural,urban commercial,"RCC, TMT Steel Bars, M25 Grade Concrete, Solid Concrete Blocks, Thermal Insulation Panels, Weather-Proof Paint, Basic Fire Retardants"
commercial,cinema,hot,sandy,high,structural,urban commercial,"RCC with M30 Concrete, TMT Bars (Fe550), CSEB Blocks, Heat-Reflective Roofing, Sound-Insulated Wall Panels, Solar-Proof Waterproofing Membrane"
commercial,warehouse,hot,clayey,medium,structural & interior,urban commercial,"RCC, TMT Bars, M25 Concrete, Fly Ash Bricks, Heat-Reflective Roof Sheets, industrial Paint, Basic False Ceiling, Steel Sliding Doors"
commercial,warehouse,cold,rocky,low,structural & interior,urban commercial,"RBC, Mild Steel Bars, M20 Concrete, Stabilized Earth Blocks, PU Paint, Corrugated Metal Roofing, Basic Lighting Fixtures, Damp-Proof Flooring"
commercial,warehouse,temperate,loamy,medium,structural & interior,urban commercial,"RCC, TMT Steel Bars, M25 Concrete, CSEB Blocks, Weather-Resistant Coating, Basic False Ceiling, Anti-Corrosive Steel Cladding, Vitrified Tiles (Office Area)"
commercial,warehouse,humid,sandy,high,structural & interior,urban commercial,"RCC with M30 Concrete, Solid Concrete Blocks, TMT Steel (Fe550), Waterproof Plaster, Epoxy-Coated Flooring, Marine Plywood Partitions, Fire-Retardant Paints, Aluminium Ventilation Louvers"
residential,penthouse,humid,rocky,medium,interior,rural residential,"Moisture-resistant gypsum boards, ceramic tiles, anti-fungal paint, weather-sealed wooden doors, uPVC windows, laminated furniture, moderate-cost electrical fitting"
residential,bungalow,hot,clayey,high,interior,urban residential,"Heat-reflective vitrified tiles, premium anti-fungal paint, hardwood doors, uPVC double-glazed windows, modular kitchen fittings, designer LED lighting, smart home switches, and false ceiling with insulation"
residential,studio apartment,humid,sandy,low,interior,suburban residential,"Basic ceramic tiles, damp-proof wall paint, PVC doors, standard uPVC windows, compact modular furniture, budget LED lighting, and simple laminate finishes"
residential,duplex,cold,humid,medium,interior,rural residential,"Insulated wall panels, anti-fungal and warm-toned paint, wooden or vinyl flooring, sealed wooden doors, double-glazed uPVC windows, moderate-cost modular furniture, and energy-efficient lighting fixtures"
residential,townhouse,hot,humid,medium,interior,rural residential,"Heat-resistant ceramic tiles, moisture-proof emulsion paint, uPVC doors and windows, modular furniture with laminates, ceiling fans with energy efficiency, and standard LED lighting suitable for humid conditions"
residential,villa,humid,humid,medium,interior,rural residential,"Moisture-resistant wall panels, anti-fungal paint, vitrified floor tiles, teak wood doors, weather-sealed uPVC windows, modular wardrobes, and humidity-tolerant LED lighting fixtures"
industrial,factory,hot,humid,low,roofing and ventilation,rural industrial,"Heat-reflective metal roofing sheets, galvanized steel ventilation ducts, ridge ventilators, turbine ventilators, budget insulation sheets, and rust-resistant fasteners"
industrial,factory,hot,clayey,low,roofing and ventilation,rural industrial,"Corrugated metal sheets (galvanized), ridge vents, PVC ducting for ventilation, low-cost fiberglass insulation, basic foam panels for heat resistance, and zinc-coated fasteners"
industrial,factory,hot,sandy,low,roofing and ventilation,rural industrial,"Asbestos-free cement roofing sheets, basic turbine ventilators, simple louver vent systems, reflective insulation foil, and aluminum-coated nails"
industrial,factory,hot,humid,medium,roofing and ventilation,rural industrial,"Polycarbonate roofing panels, motorized exhaust fans, high-performance ridge vents, advanced insulation boards, and durable steel frame supports"
industrial,factory,hot,humid,low,roofing and ventilation,urban industrial,"Bitumen-coated metal roofing, passive ventilation grills, cross-ventilation design, economical insulating materials like mineral wool, and galvanized bolts"
industrial,factory,temperate,humid,low,roofing and ventilation,rural industrial,"Fiber cement sheets, gravity-driven roof vents, low-cost roll insulation, rust-resistant aluminum fasteners, and basic ventilation pipes"
